六	ロク ・ リク ・ む ・ むつ ・ むっつ ・ むい	six	general
力	リョク ・ リキ ・ リイ ・ ちから	power; strong; strain; bear up; exert	general
林	リン ・ はやし	grove; forest	general
立	リツ ・ リュウ ・ リットル ・ たつ ・ -たつ ・ たち- ・ たてる ・ -たてる ・ たて- ・ たて- ・ -たて ・ -だて ・ -だてる	stand up	general
夕	セキ ・ ゆう	evening	general
木	ボク ・ モク ・ き ・ こ-	tree; wood	general
目	モク ・ ボク ・ め ・ -め ・ ま-	eye; class; look; insight; experience; care; favor	general
名	メイ ・ ミョウ ・ な ・ -な	name; noted; distinguished; reputation	general
本	ホン ・ もと	book; present; main; true; real; counter for long cylindrical things	general
文	ブン ・ モン ・ ふみ ・ あや	sentence; literature; style; art; decoration; figures; plan; literary radical (no. 67)	general
八	ハチ ・ や ・ やつ ・ やっつ ・ よう	eight; eight radical (no. 12)	general
百	ヒャク ・ ビャク ・ もも	hundred	general
白	ハク ・ ビャク ・ しろ ・ しら- ・ しろい	white	general
二	ニ ・ ジ ・ ふた ・ ふたつ ・ ふたたび	two; two radical (no.2)	general
日	ニチ ・ ジツ ・ ひ ・ -び ・ -か	day; sun; Japan; counter for days	general
入	ニュウ ・ ジュ ・ いる ・ -いる ・ -いり ・ いれる ・ -いれ ・ はいる	enter; insert	general
年	ネン ・ とし	year; counter for years	general
土	ド ・ ト ・ つち	soil; earth; ground; Turkey	general
町	チョウ ・ まち	town; village; block; street	general
天	テン ・ あまつ ・ あめ ・ あま-	heavens; sky; imperial	general
田	デン ・ た	rice field; rice paddy	general
虫	チュウ ・ キ ・ むし	insect; bug; temper	general
男	ダン ・ ナン ・ おとこ ・ お	male	general
竹	チク ・ たけ	bamboo	general
中	チュウ ・ なか ・ うち ・ あたる	in; inside; middle; mean; center	general
大	ダイ ・ タイ ・ おお- ・ おおきい ・ -おおいに	large; big	general
早	ソウ ・ サッ ・ はやい ・ はや ・ はや- ・ はやまる ・ はやめる ・ さ-	early; fast	general
草	ソウ ・ くさ ・ くさ- ・ -ぐさ	grass; weeds; herbs; pasture; write; draft	general
