朗	ロウ ・ ほがらか ・ あきらか	melodious; clear; bright; serene; cheerful	general
論	ロン	argument; discourse	general
臨	リン ・ のぞむ	look to; face; meet; confront; attend; call on	general
欲	ヨク ・ ほっする ・ ほしい	longing; covetousness; greed; passion; desire; craving	general
翌	ヨク	the following; next	general
乱	ラン ・ ロン ・ みだれる ・ みだる ・ みだす ・ みだ ・ おさめる ・ わたる	riot; war; disorder; disturb	general
卵	ラン ・ たまご	egg; ovum; spawn; roe	general
覧	ラン ・ みる	perusal; see	general
裏	リ ・ うら	back; amidst; in; reverse; inside; palm; sole; rear; lining; wrong side	general
律	リツ ・ リチ ・ レツ	rhythm; law; regulation; gauge; control	general
幼	ヨウ ・ おさない	infancy; childhood	general
郵	ユウ	mail; stagecoach stop	general
優	ユウ ・ ウ ・ やさしい ・ すぐれる ・ まさる	tenderness; excel; surpass; actor; superiority; gentleness	general
訳	ヤク ・ わけ	translate; reason; circumstance; case	general
盟	メイ	alliance; oath	general
模	モ ・ ボ	imitation; copy; mock	general
密	ミツ ・ ひそか	secrecy; density (pop); minuteness; carefulness	general
枚	マイ ・ バイ	sheet of...; counter for flat thin objects or sheets	general
幕	マク ・ バク ・ とばり	curtain; bunting; act of play	general
補	ホ ・ おぎなう	supplement; supply; make good; offset; compensate; assistant; learner	general
暮	ボ ・ くれる ・ くらす	livelihood; make a living; spend time	general
宝	ホウ ・ たから	treasure; wealth; valuables	general
訪	ホウ ・ おとずれる ・ たずねる ・ とう	call on; visit; look up; offer sympathy	general
亡	ボウ ・ モウ ・ ない ・ なき- ・ ほろびる ・ ほろぶ ・ ほろぼす	deceased; the late; dying; perish	general
忘	ボウ ・ わすれる	forget	general
棒	ボウ	rod; stick; cane; pole; club; line	general
並	ヘイ ・ ホウ ・ なみ ・ ならべる ・ ならぶ ・ ならびに	row; and; besides; as well as; line up; rank with; rival; equal	general
閉	ヘイ ・ とじる ・ とざす ・ しめる ・ しまる ・ たてる	closed; shut	general
陛	ヘイ	highness; steps (of throne)	general
片	ヘン ・ かた- ・ かた	one-sided; leaf; sheet; right-side kata radical (no. 91)	general
腹	フク ・ はら	abdomen; belly; stomach	general
奮	フン ・ ふるう	stirred up; be invigorated; flourish	general
班	ハン	squad; corps; unit; group	general
晩	バン	nightfall; night	general
否	ヒ ・ いな ・ いや	negate; no; noes; refuse; decline; deny	general
批	ヒ	criticism; strike	general
秘	ヒ ・ ひめる ・ ひそか ・ かくす	secret; conceal	general
難	ナン ・ かたい ・ -がたい ・ むずかしい ・ むづかしい ・ むつかしい ・ -にくい	difficult; impossible; trouble; accident; defect	general
乳	ニュウ ・ ちち ・ ち	milk; breasts	general
認	ニン ・ みとめる ・ したためる	acknowledge; witness; discern; recognize; appreciate; believe	general
納	ノウ ・ ナッ ・ ナ ・ ナン ・ トウ ・ おさめる ・ -おさめる ・ おさまる	settlement; obtain; reap; pay; supply; store	general
脳	ノウ ・ ドウ ・ のうずる	brain; memory	general
派	ハ	faction; group; party; clique; sect; school	general
俳	ハイ	haiku; actor	general
拝	ハイ ・ おがむ ・ おろがむ	worship; adore; pray to	general
背	ハイ ・ せ ・ せい ・ そむく ・ そむける	stature; height; back; behind; disobey; defy; go back on; rebel	general
肺	ハイ	lungs	general
届	カイ ・ とどける ・ -とどけ ・ とどく	deliver; reach; arrive; report; notify; forward	general
党	トウ ・ なかま ・ むら	party; faction; clique	general
糖	トウ	sugar	general
討	トウ ・ うつ	chastise; attack; defeat; destroy; conquer	general
庁	チョウ ・ テイ ・ やくしょ	government office	general
潮	チョウ ・ しお ・ うしお	tide; salt water; opportunity	general
頂	チョウ ・ いただく ・ いただき	place on the head; receive; top of head; top; summit; peak	general
賃	チン	fare; fee; hire; rent; wages; charge	general
痛	ツウ ・ いたい ・ いたむ ・ いたましい ・ いためる	pain; hurt; damage; bruise	general
