列	レツ ・ レ	file; row; rank; tier; column	general
練	レン ・ ねる ・ ねり	practice; gloss; train; drill; polish; refine	general
路	ロ ・ ル ・ -じ ・ みち	path; route; road; distance	general
和	ワ ・ オ ・ カ ・ やわらぐ ・ やわらげる ・ なごむ ・ なごやか	harmony; Japanese style; peace; soften; Japan	general
緑	リョク ・ ロク ・ みどり	green	general
礼	レイ ・ ライ	salute; bow; ceremony; thanks; remuneration	general
陽	ヨウ ・ ひ	sunshine; yang principle; positive; male; heaven; daytime	general
落	ラク ・ おちる ・ おち ・ おとす	fall; drop; come down	general
流	リュウ ・ ル ・ ながれる ・ ながれ ・ ながす ・ -ながす	current; a sink; flow; forfeit	general
旅	リョ ・ たび	trip; travel	general
両	リョウ ・ てる ・ ふたつ	both; old Japanese coin; counter for carriages (e.g., in a train); two	general
羊	ヨウ ・ ひつじ	sheep	general
葉	ヨウ ・ は	leaf; plane; lobe; needle; blade; spear; counter for flat things; fragment; piece	general
様	ヨウ ・ ショウ ・ さま ・ さん	Esq.; way; manner; situation; polite suffix	general
洋	ヨウ	ocean; western style	general
遊	ユウ ・ ユ ・ あそぶ ・ あそばす	play	general
予	ヨ ・ シャ ・ あらかじめ	beforehand; previous; myself; I	general
有	ユウ ・ ウ ・ ある	possess; have; exist; happen; occur; approx	general
由	ユ ・ ユウ ・ ユイ ・ よし ・ よる	wherefore; a reason	general
油	ユ ・ ユウ ・ あぶら	oil; fat	general
薬	ヤク ・ くすり	medicine; chemical; enamel; gunpowder; benefit	general
問	モン ・ とう ・ とい ・ とん	question; ask; problem	general
役	ヤク ・ エキ	duty; war; campaign; drafted labor; office; service; role	general
命	メイ ・ ミョウ ・ いのち	fate; command; decree; destiny; life; appoint	general
面	メン ・ ベン ・ おも ・ おもて ・ つら	mask; face; features; surface	general
味	ミ ・ あじ ・ あじわう	flavor; taste	general
放	ホウ ・ はなす ・ -っぱなし ・ はなつ ・ はなれる ・ こく ・ ほうる	set free; release; fire; shoot; emit; banish; liberate	general
勉	ベン ・ つとめる	exertion	general
返	ヘン ・ かえす ・ -かえす ・ かえる ・ -かえる	return; answer; fade; repay	general
平	ヘイ ・ ビョウ ・ ヒョウ ・ たいら ・ -だいら ・ ひら ・ ひら-	even; flat; peace	general
部	ブ ・ -べ	section; bureau; dept; class; copy; part; portion; counter for copies of a newspaper or magazine	general
服	フク	clothing; admit; obey; discharge	general
福	フク	blessing; fortune; luck; wealth	general
物	ブツ ・ モツ ・ もの ・ もの-	thing; object; matter	general
負	フ ・ まける ・ まかす ・ おう	defeat; negative; -; minus; bear; owe; assume a responsibility	general
箱	ソウ ・ はこ	box; chest; case; bin; railway car	general
畑	はた ・ はたけ ・ -ばたけ	farm; field; garden; one's specialty; (kokuji)	general
発	ハツ ・ ホツ ・ たつ ・ あばく ・ おこる ・ つかわす ・ はなつ	discharge; departure; publish; emit; start from; disclose; counter for gunshots	general
反	ハン ・ ホン ・ タン ・ ホ ・ そる ・ そらす ・ かえす ・ かえる ・ -かえる	anti-	general
板	ハン ・ バン ・ いた	plank; board; plate; stage	general
悲	ヒ ・ かなしい ・ かなしむ	jail cell; grieve; sad; deplore; regret	general
皮	ヒ ・ かわ	pelt; skin; hide; leather; skin radical (no. 107)	general
美	ビ ・ ミ ・ うつくしい	beauty; beautiful	general
