領	リョウ ・ えり	jurisdiction; dominion; territory; fief; reign	general
率	ソツ ・ リツ ・ シュツ ・ ひきいる	ratio; rate; proportion; %; coefficient; factor	general
略	リャク ・ ほぼ ・ おかす ・ おさめる ・ はかりごと ・ はかる ・ はぶく ・ りゃくす ・ りゃくする	abbreviation; omission; outline; shorten; capture; plunder	general
留	リュウ ・ ル ・ とめる ・ とまる ・ とどめる ・ とどまる ・ るうぶる	detain; fasten; halt; stop	general
預	ヨ ・ あずける ・ あずかる	deposit; custody; leave with; entrust to	general
容	ヨウ ・ いれる	contain; form; looks	general
余	ヨ ・ あまる ・ あまり ・ あます ・ あんまり	too much; myself; surplus; other; remainder	general
輸	ユ ・ シュ	transport; send; be inferior	general
迷	メイ ・ まよう	astray; be perplexed; in doubt; lost; err; illusion	general
綿	メン ・ わた	cotton	general
務	ム ・ つとめる	task; duties	general
夢	ム ・ ボウ ・ ゆめ ・ ゆめみる ・ くらい	dream; vision; illusion	general
墓	ボ ・ はか	grave; tomb	general
報	ホウ ・ むくいる	report; news; reward; retribution	general
豊	ホウ ・ ブ ・ ゆたか ・ とよ	bountiful; excellent; rich	general
暴	ボウ ・ バク ・ あばく ・ あばれる	outburst; rave; fret; force; violence; cruelty; outrage	general
貿	ボウ	trade; exchange	general
防	ボウ ・ ふせぐ	ward off; defend; protect; resist	general
弁	ベン ・ ヘン ・ わきまえる ・ わける ・ はなびら ・ あらそう	valve; petal; braid; speech; dialect; discrimination; dispose of; distinguish	general
保	ホ ・ ホウ ・ たもつ	protect; guarantee; keep; preserve; sustain; support	general
編	ヘン ・ あむ ・ -あみ	compilation; knit; plait; braid; twist; editing; completed poem; part of a book	general
武	ブ ・ ム ・ たけし	warrior; military; chivalry; arms	general
復	フク ・ また	restore; return to; revert; resume	general
複	フク	duplicate; double; compound; multiple	general
仏	ブツ ・ フツ ・ ほとけ	Buddha; the dead; France	general
貧	ヒン ・ ビン ・ まずしい	poverty; poor	general
婦	フ ・ よめ	lady; woman; wife; bride	general
富	フ ・ フウ ・ とむ ・ とみ	wealth; enrich; abundant	general
布	フ ・ ぬの	linen; cloth	general
判	ハン ・ バン ・ わかる	judgement; signature; stamp; seal	general
版	ハン	printing block; printing plate; edition; impression; label	general
犯	ハン ・ ボン ・ おかす	crime; sin; offense	general
比	ヒ ・ くらべる	compare; race; ratio; Philipines	general
肥	ヒ ・ こえる ・ こえ ・ こやす ・ こやし ・ ふとる	fertilizer; get fat; fertile; manure; pamper	general
非	ヒ ・ あらず	un-; mistake; negative; injustice; non-	general
備	ビ ・ そなえる ・ そなわる ・ つぶさに	equip; provision; preparation	general
俵	ヒョウ ・ たわら	bag; bale; sack; counter for bags	general
評	ヒョウ	evaluate; criticism; comment	general
任	ニン ・ まかせる ・ まかす	responsibility; duty; term; entrust to; appoint	general
燃	ネン ・ もえる ・ もやす ・ もす	burn; blaze; glow	general
能	ノウ ・ よく	ability; talent; skill; capacity	general
破	ハ ・ やぶる ・ やぶれる	rend; rip; tear; break; destroy; defeat; frustrate	general
導	ドウ ・ みちびく	guidance; leading; conduct; usher	general
銅	ドウ ・ あかがね	copper	general
徳	トク	benevolence; virtue; goodness; commanding respect	general
独	ドク ・ トク ・ ひとり	single; alone; spontaneously; Germany	general
統	トウ ・ すべる ・ ほびる	overall; relationship; ruling; governing	general
張	チョウ ・ はる ・ -はり ・ -ばり	lengthen; counter for bows & stringed instruments; stretch; spread; put up (tent)	general
提	テイ ・ チョウ ・ ダイ ・ さげる	propose; take along; carry in hand	general
程	テイ ・ ほど ・ -ほど	extent; degree; law; formula; distance; limits; amount	general
敵	テキ ・ かたき ・ あだ ・ かなう	enemy; foe; opponent	general
適	テキ ・ かなう	suitable; occasional; rare; qualified; capable	general
築	チク ・ きずく	fabricate; build; construct	general
断	ダン ・ たつ ・ ことわる ・ さだめる	severance; decline; refuse; apologize; warn; dismiss; prohibit; decision; judgement; cutting	general
団	ダン ・ トン ・ かたまり ・ まるい	group; association	general
退	タイ ・ しりぞく ・ しりぞける ・ ひく ・ のく ・ のける ・ どく	retreat; withdraw; retire; resign; repel; expel; reject	general
貸	タイ ・ かす ・ かし- ・ かし-	lend	general
態	タイ ・ わざと	attitude; condition; figure; appearance; voice (of verbs)	general
総	ソウ ・ すべて ・ すべて ・ ふさ	general; whole; all; full; total	general
像	ゾウ	statue; picture; image; figure; portrait	general
増	ゾウ ・ ます ・ まし ・ ふえる ・ ふやす	increase; add; augment; gain; promote	general
造	ゾウ ・ つくる ・ つくり ・ -づくり	create; make; structure; physique	general
則	ソク ・ のっとる	rule; follow; based on; model after	general
測	ソク ・ はかる	fathom; plan; scheme; measure	general
属	ゾク ・ ショク ・ さかん ・ つく ・ やから	belong; genus; subordinate official; affiliated	general
損	ソン ・ そこなう ・ そこなう ・ -そこなう ・ そこねる ・ -そこねる	damage; loss; disadvantage; hurt; injure	general
素	ソ ・ ス ・ もと	elementary; principle; naked; uncovered	general
績	セキ	exploits; unreeling cocoons	general
責	セキ ・ せめる	blame; condemn; censure	general
接	セツ ・ ショウ ・ つぐ	touch; contact; adjoin; piece together	general
設	セツ ・ もうける	establishment; provision; prepare	general
絶	ゼツ ・ たえる ・ たやす ・ たつ	discontinue; beyond; sever; cut off; abstain; interrupt; suppress	general
舌	ゼツ ・ した	tongue; reed; clapper	general
銭	セン ・ ゼン ・ ぜに ・ すき	coin; .01 yen; money	general
祖	ソ	ancestor; pioneer; founder	general
税	ゼイ	tax; duty	general
政	セイ ・ ショウ ・ まつりごと ・ まん	politics; government	general
精	セイ ・ ショウ ・ シヤウ	refined; ghost; fairy; energy; vitality; semen; excellence; purity; skill	general
製	セイ	made in...; manufacture	general
制	セイ	system; law; rule	general
勢	セイ ・ ゼイ ・ いきおい ・ はずみ	forces; energy; military strength	general
性	セイ ・ ショウ ・ さが	sex; gender; nature	general
常	ジョウ ・ つね ・ とこ-	usual; ordinary; normal; regular	general
情	ジョウ ・ セイ ・ なさけ	feelings; emotion; passion; sympathy; circumstances; facts	general
条	ジョウ ・ チョウ ・ デキ ・ えだ ・ すじ	article; clause; item; stripe; streak	general
状	ジョウ	status quo; conditions; circumstances; form; appearance	general
織	ショク ・ シキ ・ おる ・ おり ・ おり ・ -おり ・ -おり	weave; fabric	general
職	ショク ・ ソク	post; employment; work	general
序	ジョ ・ ついで ・ ついで	preface; beginning; order; precedence; occasion; chance; incidentally	general
承	ショウ ・ ジョウ ・ うけたまわる ・ うける ・ ささげる ・ とどめる ・ たすける ・ こらす ・ ついで ・ すくう	acquiesce; hear; listen to; be informed; receive	general
招	ショウ ・ まねく	beckon; invite; summon; engage	general
証	ショウ ・ あかし	evidence; proof; certificate	general
準	ジュン ・ じゅんじる ・ じゅんずる ・ なぞらえる ・ のり ・ ひとしい ・ みずもり	semi-; correspond to; proportionate to; conform; imitate	general
術	ジュツ ・ すべ	art; technique; skill; means; trick; resources; magic	general
述	ジュツ ・ のべる	mention; state; speak; relate	general
授	ジュ ・ さずける ・ さずかる	impart; instruct; grant; confer	general
修	シュウ ・ シュ ・ おさめる ・ おさまる	discipline; conduct oneself well; study; master	general
謝	シャ ・ あやまる	apologize; thank; refuse	general
舎	シャ ・ セキ ・ やどる	cottage; inn; hut; house; mansion	general
識	シキ ・ しる ・ しるす	discriminating; know; write	general
質	シツ ・ シチ ・ チ ・ たち ・ ただす ・ もと ・ わりふ	substance; quality; matter; temperament	general
資	シ	assets; resources; capital; funds; data; be conducive to; contribute to	general
飼	シ ・ かう	domesticate; raise; keep; feed	general
似	ジ ・ にる ・ ひる	becoming; resemble; counterfeit; imitate; suitable	general
示	ジ ・ シ ・ しめす	show; indicate; point out; express; display	general
支	シ ・ ささえる ・ つかえる ・ かう	branch; support; sustain; branch radical (no. 65)	general
枝	シ ・ えだ	bough; branch; twig; limb; counter for branches	general
師	シ ・ ス ・ もろもろ ・ ならう	expert; teacher; master; model; exemplar; army (incl. counter); war	general
志	シ ・ シリング ・ こころざす ・ こころざし	intention; plan; resolve; aspire; motive; hopes; shilling	general
賛	サン ・ たすける ・ たたえる	approve; praise; title or inscription on picture; assist; agree with	general
酸	サン ・ すい	acid; bitterness; sour; tart	general
雑	ザツ ・ ゾウ ・ まじえる ・ まじる	miscellaneous	general
