話	talk	wa	hana(su), hanashi	JDIC_Audio_All/はなし - 話.mp3	ワ	はなす,はなし	tale; talk
知	know	chi	shi(ru)	JDIC_Audio_All/しる - 知る.mp3	チ	しる,しらせる	know; wisdom
地	ground	chi, ji	chi	JDIC_Audio_All/ち - 地.mp3	チ,ジ	チ,ジ	ground; earth
池	pond	chi	ike	JDIC_Audio_All/いけ - 池.mp3	チ	いけ	pond; cistern; pool; reservoir
茶	tea	cha, sa	chi	JDIC_Audio_All/ちゃ - 茶.mp3	チャ,サ	チャ,サ	tea
昼	daytime	chuu	hiru	JDIC_Audio_All/ひる - 昼.mp3	チュウ	ひる	daytime; noon
谷	valley	koku	tani	JDIC_Audio_All/たに - 谷.mp3	コク	たに,きわまる	valley
台	pedestal	dai, tai	utena	JDIC_Audio_All/うてな - 台.mp3	ダイ,タイ	うてな,われ	pedestal; a stand; counter for machines and vehicles
体	body	tai, tei	karada	JDIC_Audio_All/からだ - 体.mp3	タイ,テイ	からだ,かたち	body; substance; object; reality; counter for images
走	run	soo	hashi(ru)	JDIC_Audio_All/はしる - 走る.mp3	ソウ	はしる	run
多	many	ta	oo(i)	JDIC_Audio_All/た - 多.mp3	タ	おおい,まさに	many; frequent; much
太	thick	tai, ta	futo(i), futo(ru)	JDIC_Audio_All/ふとい - 太い.mp3	タイ,タ	ふとい,ふとる	plump; thick; big around
組	assemble	so	ku(mu), kumi	JDIC_Audio_All/くみ - 組.mp3	ソ	くむ,くみ	association; braid; plait; construct; assemble; unite; cooperate; grapple
切	cut	setsu, sai	ki(ru), ki(reru)	JDIC_Audio_All/せつ - 切.mp3	セツ,サイ	きる,-きる	cut; cutoff; be sharp
雪	snow	setsu	yuki	JDIC_Audio_All/ゆき - 雪.mp3	セツ	ゆき	snow
線	line	sen	suji	JDIC_Audio_All/せん - 線.mp3	セン	すじ	line; track
船	ship	sen	fune,funa	JDIC_Audio_All/ふね - 船.mp3	セン	ふね,ふな-	ship; boat
前	in front	zen	mae	JDIC_Audio_All/まえ - 前.mp3	ゼン	まえ,-まえ	in front; before
星	star	sei, shoo	hoshi	JDIC_Audio_All/ほし - 星.mp3	セイ,ショウ	ほし,-ぼし	star; spot; dot; mark
晴	clear up	sei	ha(reru), ha(rasu)	JDIC_Audio_All/はれ - 晴れ.mp3	セイ	はれる,はれ	clear up
声	voice	sei, shoo	koe, kowa	JDIC_Audio_All/こえ - 声.mp3	セイ,ショウ	こえ,こわ-	voice
西	west	sei, sai	nishi	JDIC_Audio_All/にし - 西.mp3	セイ,サイ	にし	west; Spain
図	map	zu, to	haka(ru)	JDIC_Audio_All/ず - 図.mp3	ズ,ト	え,はかる	map; drawing; plan; unexpected; accidentally
