領	jurisdiction	ryoo	eri	JDIC_Audio_All/りょうする - 領する.mp3	リョウ	えり	jurisdiction; dominion; territory; fief; reign
率	ratio	sotsu, ritsu	hiki(iru)	JDIC_Audio_All/りつ - 率.mp3	ソツ,リツ	ひきいる	ratio; rate; proportion; %; coefficient; factor
略	abbreviation	ryaku	hakaru	JDIC_Audio_All/ほぼ - 略.mp3	リャク	ほぼ,おかす	abbreviation; omission; outline; shorten; capture; plunder
留	detain	ryuu, ru	to(meru), to(maru)	JDIC_Audio_All/とまる - 留る.mp3	リュウ,ル	とめる,とまる	detain; fasten; halt; stop
預	deposit	yo	azu(keru), azu(karu)	JDIC_Audio_All/あずける - 預ける.mp3	ヨ	あずける,あずかる	deposit; custody; leave with; entrust to
容	contain	yoo	ireru	JDIC_Audio_All/いれる - 容れる.mp3	ヨウ	いれる	contain; form; looks
余	too much	yo	ama(ru), ama(su)	JDIC_Audio_All/よ - 余.mp3	ヨ	あまる,あまり	too much; myself; surplus; other; remainder
輸	transport	yu	syu	sounds/common/yu.wav	ユ,シュ	ユ,シュ	transport; send; be inferior
迷	astray	mei	mayo(u)	JDIC_Audio_All/まよう - 迷う.mp3	メイ	まよう	astray; be perplexed; in doubt; lost; err; illusion
綿	cotton	men	wata	JDIC_Audio_All/めん - 綿.mp3	メン	わた	cotton
務	task	mu	tsuto(meru)	JDIC_Audio_All/つとめる - 務める.mp3	ム	つとめる	task; duties
夢	dream	mu	yume	JDIC_Audio_All/ゆめ - 夢.mp3	ム,ボウ	ゆめ,ゆめみる	dream; vision; illusion
墓	grave	bo	haka	sounds/common/bo.wav	ボ	はか	grave; tomb
報	report	hoo	muku(iru)	sounds/common/mukuiru.wav	ホウ	むくいる	report; news; reward; retribution
豊	bountiful	hoo	yuta(ka)	sounds/common/yutaka.wav	ホウ,ブ	ゆたか,とよ	bountiful; excellent; rich
暴	outburst	boo, baku	aba(ku), aba(reru)	sounds/g5/e69ab4_abaku.wav	ボウ,バク	あばく,あばれる	outburst; rave; fret; force; violence; cruelty; outrage
貿	trade	boo	bou	sounds/common/bou.wav	ボウ	ボウ	trade; exchange
防	ward off	boo	fuse(gu)	sounds/g5/e998b2_fusegu.wav	ボウ	ふせぐ	ward off; defend; protect; resist
弁	valve	ben	wakeru	sounds/g2/e58886_wakeru.wav	ベン,ヘン	わきまえる,わける	valve; petal; braid; speech; dialect; discrimination; dispose of; distinguish
保	protect	ho	tamo(tsu)	sounds/g5/e4bf9d_tamotsu.wav	ホ,ホウ	たもつ	protect; guarantee; keep; preserve; sustain; support
編	compilation	hen	a(mu)	JDIC_Audio_All/へん - 編.mp3	ヘン	あむ,-あみ	compilation; knit; plait; braid; twist; editing; completed poem; part of a book
武	warrior	bu, mu	takeshi	JDIC_Audio_All/たけし - 武し.mp3	ブ,ム	たけし	warrior; military; chivalry; arms
復	restore	fuku	mata	JDIC_Audio_All/ふくす - 復す.mp3	フク	また	restore; return to; revert; resume
複	duplicate	fuku	fuku	JDIC_Audio_All/ふく - 複.mp3	フク	フク	duplicate; double; compound; multiple
仏	Buddha	butsu	hotoke	JDIC_Audio_All/ほとけ - 仏.mp3	ブツ,フツ	ほとけ	Buddha; the dead; France
貧	poverty	hin, bin	mazu(shii)	JDIC_Audio_All/ひん - 貧.mp3	ヒン,ビン	まずしい	poverty; poor
婦	lady	fu	yome	sounds/common/fu.wav	フ	よめ	lady; woman; wife; bride
富	wealth	fu, fuu	to(mu), tomi	JDIC_Audio_All/とみ - 富.mp3	フ,フウ	とむ,とみ	wealth; enrich; abundant
布	linen	fu	nuno	JDIC_Audio_All/ぬの - 布.mp3	フ	ぬの	linen; cloth
判	judgement	han, ban	wakaru	JDIC_Audio_All/ばん - 判.mp3	ハン,バン	わかる	judgement; signature; stamp; seal
版	printing block	han	han	JDIC_Audio_All/はん - 版.mp3	ハン	ハン	printing block; printing plate; edition; impression; label
犯	crime	han	oka(su)	JDIC_Audio_All/おかす - 犯す.mp3	ハン,ボン	おかす	crime; sin; offense
比	compare	hi	kura(beru)	JDIC_Audio_All/ひ - 比.mp3	ヒ	くらべる	compare; race; ratio; Philipines
肥	fertilizer	hi	ko(eru), koe,ko(yasu), ko(yashi)	JDIC_Audio_All/こえ - 肥.mp3	ヒ	こえる,こえ	fertilizer; get fat; fertile; manure; pamper
非	non-	hi	arazu	JDIC_Audio_All/ひ - 非.mp3	ヒ	あらず	un-; mistake; negative; injustice; non-
備	equip	bi	sona(eru), sona(waru)	JDIC_Audio_All/そなえる - 備える.mp3	ビ	そなえる,そなわる	equip; provision; preparation
俵	bag	hyoo	tawara	JDIC_Audio_All/たわら - 俵.mp3	ヒョウ	たわら	bag; bale; sack; counter for bags
評	evaluate	hyoo	hyou	JDIC_Audio_All/ひょう - 評.mp3	ヒョウ	ヒョウ	evaluate; criticism; comment
任	responsibility	nin	maka(seru), maka(su)	JDIC_Audio_All/にん - 任.mp3	ニン	まかせる,まかす	responsibility; duty; term; entrust to; appoint
燃	burn	nen	mo(eru), mo(yasu), mo(su)	JDIC_Audio_All/もやす - 燃す.mp3	ネン	もえる,もやす	burn; blaze; glow
能	ability	noo	yoku	JDIC_Audio_All/のう - 能.mp3	ノウ	よく	ability; talent; skill; capacity
破	rend	ha	yabu(ru), yabu(reru)	JDIC_Audio_All/やぶれる - 破れる.mp3	ハ	やぶる,やぶれる	rend; rip; tear; break; destroy; defeat; frustrate
導	guidance	doo	michibi(ku)	JDIC_Audio_All/みちびく - 導く.mp3	ドウ	みちびく	guidance; leading; conduct; usher
銅	copper	doo	akagane	JDIC_Audio_All/あかがね - 銅.mp3	ドウ	あかがね	copper
徳	benevolence	toku	toku	sounds/common/toku.wav	トク	トク	benevolence; virtue; goodness; commanding respect
独	single	doku	hito(ri)	JDIC_Audio_All/ひとり - 独り.mp3	ドク,トク	ひとり	single; alone; spontaneously; Germany
統	overall	too	su(beru)	JDIC_Audio_All/すべる - 統べる.mp3	トウ	すべる,ほびる	overall; relationship; ruling; governing
張	lengthen	choo	ha(ru)	JDIC_Audio_All/はる - 張る.mp3	チョウ	はる,-はり	lengthen; counter for bows  stringed instruments; stretch; spread; put up (tent)
提	propose	tei	sa(geru)	JDIC_Audio_All/さげる - 提げる.mp3	テイ,チョウ	さげる	propose; take along; carry in hand
程	extent	tei	hodo	JDIC_Audio_All/ほど - 程.mp3	テイ	ほど,-ほど	extent; degree; law; formula; distance; limits; amount
敵	enemy	teki	kataki	JDIC_Audio_All/かたき - 敵.mp3	テキ	かたき,あだ	enemy; foe; opponent
適	suitable	teki	kanau	JDIC_Audio_All/かなう - 適う.mp3	テキ	かなう	suitable; occasional; rare; qualified; capable
築	fabricate	chiku	kizu(ku)	JDIC_Audio_All/きずく - 築く.mp3	チク	きずく	fabricate; build; construct
断	severance	dan	ta(tsu), kotowa(ru)	JDIC_Audio_All/だん - 断.mp3	ダン	たつ,ことわる	severance; decline; refuse; apologize; warn; dismiss; prohibit; decision; judgement; cutting
団	group	dan, ton	katamari	JDIC_Audio_All/だん - 団.mp3	ダン,トン	かたまり,まるい	group; association
退	retreat	tai	shirizo(ku), shirizo(keru)	JDIC_Audio_All/しりぞく - 退く.mp3	タイ	しりぞく,しりぞける	retreat; withdraw; retire; resign; repel; expel; reject
貸	lend	tai	ka(su)	JDIC_Audio_All/かし - 貸し.mp3	タイ	かす,かし-	lend
態	attitude	tai	wazato	JDIC_Audio_All/ざま - 態.mp3	タイ	わざと	attitude; condition; figure; appearance; voice (of verbs)
総	general	soo	subeto	JDIC_Audio_All/そう - 総.mp3	ソウ	すべて,すべて	general; whole; all; full; total
像	statue	zoo	zou	JDIC_Audio_All/ぞう - 像.mp3	ゾウ	ゾウ	statue; picture; image; figure; portrait
増	increase	zoo	ma(su), fu(eru), fu(yasu)	JDIC_Audio_All/ぞう - 増.mp3	ゾウ	ます,まし	increase; add; augment; gain; promote
造	create	zoo	tsuku(ru)	JDIC_Audio_All/つくる - 造る.mp3	ゾウ	つくる,つくり	create; make; structure; physique
則	rule	soku	nottoru	JDIC_Audio_All/のっとる - 則る.mp3	ソク	のっとる	rule; follow; based on; model after
測	fathom	soku	haka(ru)	JDIC_Audio_All/はかる - 測る.mp3	ソク	はかる	fathom; plan; scheme; measure
属	belong	zoku	sakan	JDIC_Audio_All/ぞくする - 属する.mp3	ゾク,ショク	さかん,つく	belong; genus; subordinate official; affiliated
損	damage	son	soko(nau), soko(neru)	JDIC_Audio_All/そん - 損.mp3	ソン	そこなう,そこなう	damage; loss; disadvantage; hurt; injure
素	elementary	so, su	moto	JDIC_Audio_All/す - 素.mp3	ソ,ス	もと	elementary; principle; naked; uncovered
績	exploits	seki	seki	sounds/common/seki.wav	セキ	セキ	exploits; unreeling cocoons
責	blame	seki	se(meru)	JDIC_Audio_All/せめる - 責める.mp3	セキ	せめる	blame; condemn; censure
接	touch	setsu	tsu(gu)	JDIC_Audio_All/つぐ - 接ぐ.mp3	セツ,ショウ	つぐ	touch; contact; adjoin; piece together
設	establishment	setsu	moo(keru)	JDIC_Audio_All/もうけ - 設け.mp3	セツ	もうける	establishment; provision; prepare
絶	discontinue	zetsu	ta(eru), ta(yasu), ta(tsu)	JDIC_Audio_All/たえる - 絶える.mp3	ゼツ	たえる,たやす	discontinue; beyond; sever; cut off; abstain; interrupt; suppress
舌	tongue	zetsu	shita	JDIC_Audio_All/した - 舌.mp3	ゼツ	した	tongue; reed; clapper
銭	coin	sen	zeni	JDIC_Audio_All/せん - 銭.mp3	セン,ゼン	ぜに,すき	coin; .01 yen; money
祖	ancestor	so	so	JDIC_Audio_All/そ - 祖.mp3	ソ	ソ	ancestor; pioneer; founder
税	tax	zei	zei	sounds/common/zei.wav	ゼイ	ゼイ	tax; duty
政	politics	sei, shoo	matsurigoto	JDIC_Audio_All/まつりごと - 政.mp3	セイ,ショウ	まつりごと,まん	politics; government
精	refined	sei, shoo	sei	JDIC_Audio_All/せい - 精.mp3	セイ,ショウ	セイ,ショウ	refined; ghost; fairy; energy; vitality; semen; excellence; purity; skill
製	made in...	sei	sei	JDIC_Audio_All/せい - 製.mp3	セイ	セイ	made in...; manufacture
制	system	sei	sei	JDIC_Audio_All/せい - 制.mp3	セイ	セイ	system; law; rule
勢	forces	sei	ikio(i)	JDIC_Audio_All/はずみ - 勢.mp3	セイ,ゼイ	いきおい,はずみ	forces; energy; military strength
性	sex	sei, shoo	saga	JDIC_Audio_All/せい - 性.mp3	セイ,ショウ	さが	sex; gender; nature
常	usual	joo	tsune, toko	JDIC_Audio_All/とわ - 常.mp3	ジョウ	つね,とこ-	usual; ordinary; normal; regular
情	feelings	joo, sei	nasa(ke)	JDIC_Audio_All/じょう - 情.mp3	ジョウ,セイ	なさけ	feelings; emotion; passion; sympathy; circumstances; facts
条	article	joo	eda	JDIC_Audio_All/じょう - 条.mp3	ジョウ,チョウ	えだ,すじ	article; clause; item; stripe; streak
状	status quo	joo	jou	JDIC_Audio_All/じょう - 状.mp3	ジョウ	ジョウ	status quo; conditions; circumstances; form; appearance
織	weave	shoku, shiki	o(ru)	JDIC_Audio_All/おり - 織.mp3	ショク,シキ	おる,おり	weave; fabric
