術	art	jutsu	sube	JDIC_Audio_All/じゅつ - 術.mp3	ジュツ	すべ	art; technique; skill; means; trick; resources; magic
述	mention	jutsu	no(beru)	JDIC_Audio_All/のべる - 述べる.mp3	ジュツ	のべる	mention; state; speak; relate
授	impart	ju	sazu(keru), sazu(karu)	JDIC_Audio_All/さずける - 授ける.mp3	ジュ	さずける,さずかる	impart; instruct; grant; confer
修	discipline	shuu, shu	osa(meru), osa(maru)	JDIC_Audio_All/おさめる - 修める.mp3	シュウ,シュ	おさめる,おさまる	discipline; conduct oneself well; study; master
謝	apologize	sha	ayama(ru)	JDIC_Audio_All/あやまる - 謝る.mp3	シャ	あやまる	apologize; thank; refuse
舎	cottage	sha	yadoru	JDIC_Audio_All/しゃ - 舎.mp3	シャ,セキ	やどる	cottage; inn; hut; house; mansion
識	discriminating	shiki	shiru	sounds/g2/e79fa5_shiru.wav	シキ	しる,しるす	discriminating; know; write
質	substance	shitsu, shichi, chi	tachi	JDIC_Audio_All/たち - 質.mp3	シツ,シチ	たち,ただす	substance; quality; matter; temperament
資	assets	shi	shi	JDIC_Audio_All/しする - 資する.mp3	シ	シ	assets; resources; capital; funds; data; be conducive to; contribute to
飼	domesticate	shi	ka(u)	JDIC_Audio_All/かう - 飼う.mp3	シ	かう	domesticate; raise; keep; feed
似	becoming	ji	ni(ru)	JDIC_Audio_All/に - 似.mp3	ジ	にる,ひる	becoming; resemble; counterfeit; imitate; suitable
示	show	ji, shi	shime(su)	JDIC_Audio_All/しめす - 示す.mp3	ジ,シ	しめす	show; indicate; point out; express; display
支	branch	shi	sasa(eru)	JDIC_Audio_All/つかえる - 支える.mp3	シ	ささえる,つかえる	branch; support; sustain; branch radical (no. 65)
枝	bough	shi	eda	JDIC_Audio_All/えだ - 枝.mp3	シ	えだ	bough; branch; twig; limb; counter for branches
師	expert	shi	narau	JDIC_Audio_All/し - 師.mp3	シ,ス	もろもろ,ならう	expert; teacher; master; model; exemplar; army (incl. counter); war
志	intention	shi	kokoroza(su), kokorozashi	JDIC_Audio_All/こころざし - 志.mp3	シ,シリング	こころざす,こころざし	intention; plan; resolve; aspire; motive; hopes; shilling
賛	approve	san	tasukeru	JDIC_Audio_All/さん - 賛.mp3	サン	たすける,たたえる	approve; praise; title or inscription on picture; assist; agree with
酸	acid	san	su(i)	JDIC_Audio_All/さん - 酸.mp3	サン	すい	acid; bitterness; sour; tart
雑	miscellaneous	zatsu, zoo	majieru	JDIC_Audio_All/ざつ - 雑.mp3	ザツ,ゾウ	まじえる,まじる	miscellaneous
桜	cherry	oo	sakura	JDIC_Audio_All/さくら - 桜.mp3	オウ,ヨウ	さくら	cherry
際	occasion	sai	kiwa	JDIC_Audio_All/きわ - 際.mp3	サイ	きわ,-ぎわ	occasion; side; edge; verge; dangerous; adventurous; indecent; time; when
在	exist	zai	a(ru)	JDIC_Audio_All/ある - 在る.mp3	ザイ	ある	exist; outskirts; suburbs; located in
罪	guilt	zai	tsumi	JDIC_Audio_All/つみ - 罪.mp3	ザイ	つみ	guilt; sin; crime; fault; blame; offense
財	property	zai, sai	takara	JDIC_Audio_All/ざい - 財.mp3	ザイ,サイ	たから	property; money; wealth; assets
査	investigate	sa	sa	sounds/common/sa.wav	サ	サ	investigate
再	again	sai, sa	futata(bi)	JDIC_Audio_All/さい - 再.mp3	サイ,サ	ふたたび	again; twice; second time
妻	wife	sai	tsuma	JDIC_Audio_All/つま - 妻.mp3	サイ	つま	wife; spouse
採	pick	sai	to(ru)	JDIC_Audio_All/とる - 採る.mp3	サイ	とる	pick; take; fetch; take up
災	disaster	sai	wazawa(i)	JDIC_Audio_All/わざわい - 災い.mp3	サイ	わざわい	disaster; calamity; woe; curse; evil
講	lecture	koo	kou	JDIC_Audio_All/こうずる - 講ずる.mp3	コウ	コウ	lecture; club; association
鉱	mineral	koo	aragane	sounds/common/kou.wav	コウ	あらがね	mineral; ore
混	mix	kon	ma(jiru), ma(zaru), ma(zeru)	JDIC_Audio_All/まじる - 混じる.mp3	コン	まじる,-まじり	mix; blend; confuse
構	posture	koo	kama(eru), kama(u)	JDIC_Audio_All/かまう - 構う.mp3	コウ	かまえる,かまう	posture; build; pretend
耕	till	koo	tagaya(su)	JDIC_Audio_All/たがやす - 耕す.mp3	コウ	たがやす	till; plow; cultivate
効	merit	koo	ki(ku)	JDIC_Audio_All/こう - 効.mp3	コウ	きく,ききめ	merit; efficacy; efficiency; benefit
厚	thick	koo	atsu(i)	JDIC_Audio_All/あつ - 厚.mp3	コウ	あつい,あか	thick; heavy; rich; kind; cordial; brazen; shameless
護	safeguard	go	mamoru	sounds/common/mamoru.wav	ゴ	まもる	safeguard; protect
限	limit	gen	kagi(ru)	JDIC_Audio_All/かぎる - 限る.mp3	ゲン	かぎる,かぎり	limit; restrict; to best of ability
個	individual	ko	ka	JDIC_Audio_All/こ - 個.mp3	コ,カ	コ,カ	individual; counter for articles
故	happenstance	ko	yue	JDIC_Audio_All/こ - 故.mp3	コ	ゆえ,ふるい	happenstance; especially; intentionally; reason; cause; circumstances; the late; therefore; consequently
経	sutra	kei, kyoo	he(ru)	JDIC_Audio_All/きょう - 経.mp3	ケイ,キョウ	へる,たつ	sutra; longitude; pass thru; expire; warp
潔	undefiled	ketsu	isagiyo(i)	JDIC_Audio_All/いさぎよく - 潔く.mp3	ケツ	いさぎよい	undefiled; pure; clean; righteous; gallant
件	affair	ken	kudan	JDIC_Audio_All/くだり - 件.mp3	ケン	くだん	affair; case; matter; item
券	ticket	ken	ken	JDIC_Audio_All/けん - 券.mp3	ケン	ケン	ticket
検	examination	ken	shiraberu	JDIC_Audio_All/あらためる - 検める.mp3	ケン	しらべる	examination; investigate
険	precipitous	ken	kewa(shii)	JDIC_Audio_All/けわしい - 険しい.mp3	ケン	けわしい	precipitous; inaccessible place; impregnable position; steep place; sharp eyes
減	dwindle	gen	he(ru), he(rasu)	JDIC_Audio_All/げん - 減.mp3	ゲン	へる,へらす	dwindle; decrease; reduce; decline; curtail; get hungry
現	present	gen	arawa(reru), arawa(su)	JDIC_Audio_All/うつつ - 現.mp3	ゲン	あらわれる,あらわす	present; existing; actual
句	phrase	ku	ku	JDIC_Audio_All/く - 句.mp3	ク	ク	phrase; clause; sentence; passage; paragraph; counter for haiku
群	flock	gun	mu(reru), mu(re), mura	JDIC_Audio_All/ぐん - 群.mp3	グン	むれる,むれ	flock; group; crowd; herd; swarm; cluster
興	entertain	koo, kyoo	oko(ru), oko(su)	JDIC_Audio_All/きょう - 興.mp3	コウ,キョウ	おこる,おこす	entertain; revive; retrieve; interest; pleasure
均	level	kin	narasu	JDIC_Audio_All/ならし - 均し.mp3	キン	ならす	level; average
禁	prohibition	kin	kin	JDIC_Audio_All/きん - 禁.mp3	キン	キン	prohibition; ban; forbid
境	boundary	kyoo, kei	sakai	JDIC_Audio_All/さかい - 境.mp3	キョウ,ケイ	さかい	boundary; border; region
許	permit	kyo	yuru(su)	JDIC_Audio_All/もと - 許.mp3	キョ	ゆるす,もと	permit; approve
居	reside	kyo	i(ru)	JDIC_Audio_All/いる - 居る.mp3	キョ,コ	いる,-い	reside; to be; exist; live with
旧	old times	kyuu	furui	JDIC_Audio_All/きゅう - 旧.mp3	キュウ	ふるい,もと	old times; old things; old friend; former; ex-
規	standard	ki	ki	sounds/common/ki.wav	キ	キ	standard; measure
技	skill	gi	waza	JDIC_Audio_All/わざ - 技.mp3	ギ	わざ	skill; art; craft; ability; feat; performance; vocation; arts
義	righteousness	gi	gi	JDIC_Audio_All/ぎ - 義.mp3	ギ	ギ	righteousness; justice; morality; honor; loyalty; meaning
逆	inverted	gyaku	saka, saka(rau)	JDIC_Audio_All/ぎゃく - 逆.mp3	ギャク,ゲキ	さか,さかさ	inverted; reverse; opposite; wicked
久	long time	kyuu, ku	hisa(shii)	JDIC_Audio_All/ひさしい - 久しい.mp3	キュウ,ク	ひさしい	long time; old story
寄	draw near	ki	yo(ru), yo(seru)	JDIC_Audio_All/よる - 寄る.mp3	キ	よる,-より	draw near; stop in; bring near; gather; collect; send; forward
基	fundamentals	ki	moto, motoi	JDIC_Audio_All/もとい - 基.mp3	キ	もと,もとい	fundamentals; radical (chem); counter for machines; foundation
眼	eyeball	gan, gen	manako	JDIC_Audio_All/まなこ - 眼.mp3	ガン,ゲン	まなこ,め	eyeball
刊	publish	kan	kan	sounds/common/kan.wav	カン	カン	publish; carve; engrave
幹	tree trunk	kan	miki	JDIC_Audio_All/みき - 幹.mp3	カン	みき	tree trunk
慣	accustomed	kan	na(reru), na(rasu)	JDIC_Audio_All/なれる - 慣れる.mp3	カン	なれる,ならす	accustomed; get used to; become experienced
格	status	kaku, koo	kaku	JDIC_Audio_All/きゃく - 格.mp3	カク,コウ	カク,コウ	status; rank; capacity; character; case (law, grammar)
確	assurance	kaku	tashi(ka), tashi(kameru)	JDIC_Audio_All/かく - 確.mp3	カク,コウ	たしか,たしかめる	assurance; firm; tight; hard; solid; confirm; clear; evident
額	forehead	gaku	hitai	JDIC_Audio_All/ひたい - 額.mp3	ガク	ひたい	forehead; tablet; plaque; framed picture; sum; amount; volume
快	cheerful	kai	kokoroyo(i)	JDIC_Audio_All/こころよく - 快く.mp3	カイ	こころよい	cheerful; pleasant; agreeable; comfortable
営	occupation	ei	itona(mu)	JDIC_Audio_All/いとなむ - 営む.mp3	エイ	いとなむ,いとなみ	occupation; camp; perform; build; conduct (business)
永	eternity	ei	naga(i)	JDIC_Audio_All/ながい - 永い.mp3	エイ	ながい	eternity; long; lengthy
衛	defense	ei	ei	sounds/common/ei.wav	エイ,エ	エイ,エ	defense; protection
液	fluid	eki	eki	JDIC_Audio_All/えき - 液.mp3	エキ	エキ	fluid; liquid; juice; sap; secretion
