巣	ソウ ・ す ・ すくう	nest; rookery; hive; cobweb; den	general
争	ソウ ・ あらそう ・ いかでか	contend; dispute; argue	general
側	ソク ・ かわ ・ がわ ・ そば	side; lean; oppose; regret	general
束	ソク ・ たば ・ たばねる ・ つか ・ つかねる	bundle; sheaf; ream; tie in bundles; govern; manage; control	general
続	ゾク ・ ショク ・ コウ ・ キョウ ・ つづく ・ つづける ・ つぐない	continue; series; sequel	general
卒	ソツ ・ シュツ ・ そっする ・ おえる ・ おわる ・ ついに ・ にわか	graduate; soldier; private; die	general
孫	ソン ・ まご	grandchild; descendants	general
倉	ソウ ・ くら	godown; warehouse; storehouse; cellar; treasury	general
席	セキ ・ むしろ	seat; mat; occasion; place	general
積	セキ ・ つむ ・ -づみ ・ つもる ・ つもり	volume; product (x*y); acreage; contents; pile up; stack; load; amass	general
折	セツ ・ おる ・ おり ・ おり ・ -おり ・ おれる	fold; break; fracture; bend; yield; submit	general
節	セツ ・ セチ ・ ふし ・ -ぶし ・ のっと	node; season; period; occasion; verse; clause; stanza; honor; joint; knuckle; knob; knot; tune; melody	general
説	セツ ・ ゼイ ・ とく	rumor; opinion; theory	general
戦	セン ・ いくさ ・ たたかう ・ おののく ・ そよぐ ・ わななく	war; battle; match	general
浅	セン ・ あさい	shallow; superficial; frivolous; wretched; shameful	general
選	セン ・ えらぶ	elect; select; choose; prefer	general
然	ゼン ・ ネン ・ しか ・ しかり ・ しかし ・ さ	sort of thing; so; if so; in that case; well	general
清	セイ ・ ショウ ・ シン ・ きよい ・ きよまる ・ きよめる	pure; purify; cleanse; exorcise; Manchu dynasty	general
静	セイ ・ ジョウ ・ しず- ・ しずか ・ しずまる ・ しずめる	quiet	general
成	セイ ・ ジョウ ・ なる ・ なす ・ -なす	turn into; become; get; grow; elapse; reach	general
信	シン	faith; truth; fidelity; trust	general
臣	シン ・ ジン	retainer; subject	general
順	ジュン	obey; order; turn; right; docility; occasion	general
初	ショ ・ はじめ ・ はじめて ・ はつ ・ はつ- ・ うい- ・ -そめる ・ -ぞめ	first time; beginning	general
唱	ショウ ・ となえる	chant; recite; call upon; yell	general
松	ショウ ・ まつ	pine tree	general
焼	ショウ ・ やく ・ やき ・ やき- ・ -やき ・ やける	bake; burning	general
照	ショウ ・ てる ・ てらす ・ てれる	illuminate; shine; compare; bashful	general
省	セイ ・ ショウ ・ かえりみる ・ はぶく	focus; government ministry; conserve	general
笑	ショウ ・ わらう ・ えむ	laugh	general
象	ショウ ・ ゾウ ・ かたどる	elephant; pattern after; imitate; image; shape; sign (of the times)	general
賞	ショウ ・ ほめる	prize; reward; praise	general
祝	シュク ・ シュウ ・ いわう	celebrate; congratulate	general
周	シュウ ・ まわり	circumference; circuit; lap	general
種	シュ ・ たね ・ -ぐさ	species; kind; class; variety; seed	general
借	シャク ・ かりる	borrow; rent	general
辞	ジ ・ やめる ・ いなむ	resign; word; term; expression	general
失	シツ ・ うしなう ・ うせる	lose; error; fault; disadvantage; loss	general
試	シ ・ こころみる ・ ためす	test; try; attempt; experiment; ordeal	general
児	ジ ・ ニ ・ ゲイ ・ こ ・ -こ ・ -っこ	newborn babe; child; young of animals	general
治	ジ ・ チ ・ おさめる ・ おさまる ・ なおる ・ なおす	reign; be at peace; calm down; subdue; quell; govt; cure; heal; rule; conserve	general
氏	シ ・ うじ ・ -うじ	family name; surname; clan	general
史	シ	history; chronicle	general
士	シ	gentleman; samurai; samurai radical (no. 33)	general
参	サン ・ シン ・ まいる ・ まい- ・ まじわる ・ みつ	nonplussed; three; going; coming; visiting; visit; be defeated; die; be madly in love	general
散	サン ・ ちる ・ ちらす ・ -ちらす ・ ちらかす ・ ちらかる ・ ばら	scatter; disperse; spend; squander	general
産	サン ・ うむ ・ うまれる ・ うぶ- ・ むす	products; bear; give birth; yield; childbirth; native; property	general
残	ザン ・ サン ・ のこる ・ のこす ・ そこなう ・ のこり	remainder; leftover; balance	general
司	シ ・ つかさどる	director; official; govt office; rule; administer	general
察	サツ	guess; presume; surmise; judge; understand	general
札	サツ ・ ふだ	tag; paper money; counter for bonds; placard; bid	general
殺	サツ ・ サイ ・ セツ ・ ころす ・ -ごろし ・ そぐ	kill; murder; butcher; slice off; split; diminish; reduce; spoil	general
刷	サツ ・ する ・ -ずり ・ -ずり ・ はく	printing; print	general
菜	サイ ・ な	vegetable; side dish; greens	general
材	ザイ	lumber; log; timber; wood; talent	general
昨	サク	yesterday; previous	general
差	サ ・ さす ・ さし	distinction; difference; variation; discrepancy; margin; balance	general
最	サイ ・ シュ ・ もっとも ・ つま	utmost; most; extreme	general
告	コク ・ つげる	revelation; tell; inform; announce	general
航	コウ	navigate; sail; cruise; fly	general
功	コウ ・ ク ・ いさお	achievement; merits; success; honor; credit	general
好	コウ ・ このむ ・ すく ・ よい ・ いい	fond; pleasing; like something	general
康	コウ	ease; peace	general
候	コウ ・ そうろう	climate; season; weather	general
固	コ ・ かためる ・ かたまる ・ かたまり ・ かたい	harden; set; clot; curdle	general
芸	ゲイ ・ ウン ・ うえる ・ のり ・ わざ	technique; art; craft; performance; acting; trick; stunt	general
欠	ケツ ・ ケン ・ かける ・ かく	lack; gap; fail; yawning radical (no. 76)	general
結	ケツ ・ ケチ ・ むすぶ ・ ゆう ・ ゆわえる	tie; bind; contract; join; organize; do up hair; fasten	general
健	ケン ・ すこやか	healthy; health; strength; persistence	general
建	ケン ・ コン ・ たてる ・ たて ・ -だて ・ たつ	build	general
験	ケン ・ ゲン ・ あかし ・ しるし ・ ためす ・ ためし	verification; effect; testing	general
径	ケイ ・ みち ・ こみち ・ さしわたし ・ ただちに	diameter; path; method	general
景	ケイ	scenery; view	general
訓	クン ・ キン ・ おしえる ・ よむ ・ くんずる	instruction; Japanese character reading; explanation; read	general
軍	グン	army; force; troops; war; battle	general
郡	グン ・ こうり	county; district	general
型	ケイ ・ かた ・ -がた	mould; type; model	general
鏡	キョウ ・ ケイ ・ かがみ	mirror; speculum; barrel-head; round rice-cake offering	general
極	キョク ・ ゴク ・ きわめる ・ きわまる ・ きわまり ・ きわみ ・ きめる ・ -ぎめ ・ きまる	poles; settlement; conclusion; end; highest rank; electric poles; very; extremely; most; highly; 10**48	general
挙	キョ ・ あげる ・ あがる ・ こぞる	raise; plan; project; behavior; actions	general
漁	ギョ ・ リョウ ・ あさる	fishing; fishery	general
競	キョウ ・ ケイ ・ きそう ・ せる	emulate; compete with; bid; sell at auction; bout; contest; race	general
共	キョウ ・ とも ・ ともに ・ -ども	together; both; neither; all; and; alike; with	general
協	キョウ	co-; cooperation	general
季	キ	seasons	general
紀	キ	chronicle; account; narrative; history; annals; geologic period	general
議	ギ	deliberation; consultation; debate; consideration	general
救	キュウ ・ すくう	salvation; save; help; rescue; reclaim	general
求	キュウ ・ グ ・ もとめる	request; want; wish for; require; demand	general
泣	キュウ ・ なく	cry; weep; moan	general
給	キュウ ・ たまう ・ たもう ・ -たまえ	salary; wage; gift; allow; grant; bestow on	general
希	キ ・ ケ ・ まれ	hope; beg; request; pray; beseech; Greece; dilute (acid); rare; few; phenomenal	general
旗	キ ・ はた	national flag; banner; standard	general
機	キ ・ はた	mechanism; opportunity; occasion; machine; airplane	general
器	キ ・ うつわ	utensil; vessel; receptacle; implement; instrument; ability; container; tool; set	general
関	カン ・ せき ・ -ぜき ・ かかわる ・ からくり ・ かんぬき	connection; barrier; gateway; involve; concerning	general
願	ガン ・ ねがう ・ -ねがい	petition; request; vow; wish; hope	general
喜	キ ・ よろこぶ ・ よろこばす	rejoice; take pleasure in	general
管	カン ・ くだ	pipe; tube; wind instrument; drunken talk	general
観	カン ・ みる ・ しめす	outlook; look; appearance; condition; view	general
完	カン	perfect; completion; end	general
官	カン	bureaucrat; the government	general
改	カイ ・ あらためる ・ あらたまる	reformation; change; modify; mend; renew; examine; inspect; search	general
械	カイ ・ かせ	contraption; fetter; machine; instrument	general
害	ガイ	harm; injury	general
街	ガイ ・ カイ ・ まち	boulevard; street; town	general
各	カク ・ おのおの	each; every; either	general
覚	カク ・ おぼえる ・ さます ・ さめる ・ さとる	memorize; learn; remember; awake; sober up	general
栄	エイ ・ ヨウ ・ さかえる ・ はえ ・ -ばえ ・ はえる ・ え	flourish; prosperity; honor; glory; splendor	general
英	エイ ・ はなぶさ	England; English	general
塩	エン ・ しお	salt	general
億	オク	hundred million; 10**8	general
加	カ ・ くわえる ・ くわわる	add; addition; increase; join; include; Canada	general
果	カ ・ はたす ・ はたす ・ -はたす ・ はてる ・ -はてる ・ はて	fruit; reward; carry out; achieve; complete; end; finish; succeed	general
課	カ	chapter; lesson; section; department; division; counter for chapters (of a book)	general
貨	カ ・ たから	freight; goods; property	general
芽	ガ ・ め	bud; sprout; spear; germ	general
愛	アイ ・ いとしい ・ かなしい ・ めでる ・ おしむ ・ まな	love; affection; favourite	general
案	アン ・ つくえ	plan; suggestion; draft; ponder; fear; proposition; idea; expectation; bill; worry	general
以	イ ・ もって	by means of; because; in view of; compared with	general
位	イ ・ くらい ・ ぐらい	rank; grade; throne; crown; about; some	general
囲	イ ・ かこむ ・ かこう ・ かこい	surround; besiege; store; paling; enclosure; encircle; preserve; keep	general
胃	イ	stomach; paunch; crop; craw	general
衣	イ ・ エ ・ ころも ・ きぬ ・ -ぎ	garment; clothes; dressing	general
印	イン ・ しるし ・ -じるし ・ しるす	stamp; seal; mark; imprint; symbol; emblem; trademark; evidence; souvenir; India	general
