霊	レイ ・ リョウ ・ たま	spirits; soul	general
麗	レイ ・ うるわしい ・ うららか	lovely; beautiful; graceful; resplendent	general
齢	レイ ・ よわい ・ とし	age	general
暦	レキ ・ こよみ ・ りゃく	calendar; almanac	general
劣	レツ ・ おとる	inferiority; be inferior to; be worse	general
烈	レツ ・ はげしい	ardent; violent; vehement; furious; severe; extreme	general
裂	レツ ・ さく ・ さける ・ -ぎれ	split; rend; tear	general
廉	レン	bargain; reason; charge; suspicion; point; account; purity; honest; low price; cheap; rested; contented; peaceful	general
恋	レン ・ こう ・ こい ・ こいしい	romance; in love; yearn for; miss; darling	general
錬	レン ・ ねる	tempering; refine; drill; train; polish	general
炉	ロ ・ いろり	hearth; furnace; kiln; reactor	general
露	ロ ・ ロウ ・ つゆ	dew; tears; expose; Russia	general
廊	ロウ	corridor; hall; tower	general
楼	ロウ ・ たかどの	watchtower; lookout; high building	general
浪	ロウ	wandering; waves; billows	general
漏	ロウ ・ もる ・ もれる ・ もらす	leak; escape; time	general
郎	ロウ ・ リョウ ・ おとこ	son; counter for sons	general
賄	ワイ ・ まかなう	bribe; board; supply; finance	general
惑	ワク ・ まどう	beguile; delusion; perplexity	general
枠	わく	frame; framework; spindle; spool; bounding-box; (kokuji)	general
湾	ワン ・ いりえ	gulf; bay; inlet	general
腕	ワン ・ うで	arm; ability; talent	general
糧	リョウ ・ ロウ ・ かて	provisions; food; bread	general
陵	リョウ ・ みささぎ	mausoleum; imperial tomb	general
倫	リン	ethics; companion	general
厘	リン	rin; 1/10sen; 1/10bu	general
隣	リン ・ となる ・ となり	neighboring	general
塁	ルイ ・ ライ ・ スイ ・ とりで	bases; fort; rampart; walls; base(ball)	general
涙	ルイ ・ レイ ・ なみだ	tears; sympathy	general
累	ルイ	accumulate; involvement; trouble; tie up; continually	general
励	レイ ・ はげむ ・ はげます	encourage; be diligent; inspire	general
鈴	レイ ・ リン ・ すず	small bell; buzzer	general
隷	レイ ・ したがう ・ しもべ	slave; servant; prisoner; criminal; follower	general
零	レイ ・ ぜろ ・ こぼす ・ こぼれる	zero; spill; overflow; nothing; cipher	general
謡	ヨウ ・ うたい ・ うたう	noh chanting	general
踊	ヨウ ・ おどる	jump; dance; leap; skip	general
抑	ヨク ・ おさえる	repress; well; now; in the first place; push; shove; press; seal; do in spite of	general
翼	ヨク ・ つばさ	wing; plane; flank	general
羅	ラ ・ うすもの	gauze; thin silk; Rome	general
裸	ラ ・ はだか	naked; nude; uncovered; partially clothed	general
頼	ライ ・ たのむ ・ たのもしい ・ たよる	trust; request	general
雷	ライ ・ かみなり ・ いかずち ・ いかづち	thunder; lightning bolt	general
絡	ラク ・ からむ ・ からまる	entwine; coil around; get caught in	general
酪	ラク	dairy products; whey; broth; fruit juice	general
欄	ラン ・ てすり	column; handrail; blank; space	general
濫	ラン ・ みだりに ・ みだりがましい	excessive; overflow; spread out	general
吏	リ	officer; an official	general
履	リ ・ はく	footgear; shoes; boots; put on (the feet	general
痢	リ	diarrhea	general
離	リ ・ はなれる ・ はなす	detach; separation; disjoin; digress	general
硫	リュウ	sulphur	general
粒	リュウ ・ つぶ	grains; drop; counter for tiny particles	general
隆	リュウ	hump; high; noble; prosperity	general
竜	リュウ ・ リョウ ・ ロウ ・ たつ ・ いせ	dragon; imperial	general
慮	リョ ・ おもんぱくる ・ おもんぱかる	prudence; thought; concern; consider; deliberate; fear	general
虜	リョ ・ ロ ・ とりこ ・ とりく	captive; barbarian; low epithet for the enemy	general
了	リョウ	complete; finish	general
僚	リョウ	colleague; official; companion	general
寮	リョウ	dormitory; hostel; villa; tea pavillion	general
涼	リョウ ・ すずしい ・ すずむ ・ すずやか ・ うすい ・ ひやす ・ まことに	refreshing; nice and cool	general
猟	リョウ ・ レフ ・ かり ・ かる	game-hunting; shooting; game; bag	general
療	リョウ	heal; cure	general
窯	ヨウ ・ かま	kiln; oven; furnace	general
誉	ヨ ・ ほまれ ・ ほめる	reputation; praise; honor; glory	general
庸	ヨウ	commonplace; ordinary; employment	general
揚	ヨウ ・ あげる ・ -あげ ・ あがる	hoist; fry in deep fat	general
揺	ヨウ ・ ゆれる ・ ゆる ・ ゆらぐ ・ ゆるぐ ・ ゆする ・ ゆさぶる ・ ゆすぶる ・ うごく	swing; shake; sway; rock; tremble; vibrate	general
擁	ヨウ	hug; embrace; possess; protect; lead	general
溶	ヨウ ・ とける ・ とかす ・ とく	melt; dissolve; thaw	general
与	ヨ ・ あたえる ・ あずかる ・ くみする ・ ともに	bestow; participate in; give; award; impart; provide; cause; gift; godsend	general
雄	ユウ ・ お- ・ おす ・ おん	masculine; male; hero; leader; superiority; excellence	general
融	ユウ ・ とける ・ とかす	dissolve; melt	general
裕	ユウ	abundant; rich; fertile	general
誘	ユウ ・ イウ ・ さそう ・ いざなう	entice; lead; tempt; invite; ask; call for; seduce; allure	general
悠	ユウ	permanence; distant; long time; leisure	general
憂	ユウ ・ うれえる ・ うれい ・ うい ・ うき	melancholy; grieve; lament; be anxious; sad; unhappy	general
猶	ユウ ・ ユ ・ なお	furthermore; still; yet	general
諭	ユ ・ さとす	rebuke; admonish; charge; warn; persuade	general
唯	ユイ ・ イ ・ ただ	solely; only; merely; simply	general
幽	ユウ ・ ヨウ ・ ふかい ・ かすか ・ くらい ・ しろい	seclude; confine to a room; deep; profound; secluded; faint; dark; tranquil; calm	general
柳	リュウ ・ やなぎ	willow	general
愉	ユ ・ たのしい ・ たのしむ	pleasure; happy; rejoice	general
癒	ユ ・ いえる ・ いやす	healing; cure; quench (thirst); wreak	general
躍	ヤク ・ おどる	leap; dance; skip	general
黙	モク ・ ボク ・ だまる ・ もだす	silence; become silent; stop speaking; leave as is	general
戻	レイ ・ もどす ・ もどる	re-; return; revert; resume; restore; go backwards	general
紋	モン	family crest; figures	general
匁	もんめ ・ め	monme; 3.75 grams; (kokuji)	general
厄	ヤク	unlucky; misfortune; bad luck; disaster	general
猛	モウ	fierce; rave; rush; become furious; wildness; strength	general
盲	モウ ・ めくら	blind; blind man; ignoramus	general
網	モウ ・ あみ	netting; network	general
耗	モウ ・ コウ ・ カウ	decrease	general
銘	メイ	inscription; signature (of artisan)	general
